order,rootWord,rootWordId,definition,partOfSpeech
542,ف ل ن,1154,that one,Noun
543,ح ر ك,311,to move,Verb (form II)
544,ر ه ب,594,to fear,Verb (form I)
545,ل ق م,1346,to swallow,Verb (form VIII)
546,س ق ي,704,"to water, to give drink",Verb (form I)
547,ل ظ ي,1332,to blaze,Verb (form I)
548,ك ب د,1253,hardship,Noun
549,ف ق ر,1145,[the] poverty,Noun
550,ر غ ب,566,"to desire, to prefer",Verb (form I)
551,غ م ز,1082,to wink,Verb (form VI)
552,د ف ق,477,ejected,Active participle
553,ص د ق,830,"to be truthful, to fulfill",Verb (form I)
554,ر ح ق,542,a pure wine,Noun
555,و ح ش,1594,the wild beasts,Noun
556,ص ف ص ف,848,plain,Adjective
557,و أ د,1577,the female infant buried alive,Passive participle
558,و ر ي,1604,to hide,Nominal (Location adverb)
559,أ ف ك,52,"to delude, to turn away",Verb (form I)
560,ع ز و,985,(in) separate groups,Noun
561,ش ق ق,787,to split,Verb (form V)
562,ض ر ب,884,"to strike, to set forth",Verb (form I)
563,ع و ذ,1036,to seek refuge,Verb (form I)
564,ك ش ط,1274,to strip away,Verb (form I)
565,ك د ر,1261,to fall and lose luster,Verb (form VII)
566,ع ص م,995,to hold fast,Verb (form VIII)
567,ع س ع س,987,to depart,Verb (form I)
568,ص خ خ,824,the Deafening Blast,Active participle
569,ل ه م,1354,to inspire,Verb (form IV)
570,س ه م,735,to draw,Verb (form III)
571,ف و ز,1162,"to be successful, to attain",Verb (form I)
572,س غ ب,693,severe hunger,Noun
573,ن ق م,1512,you resent,Verbal noun (form VIII)
574,أ م ت,67,curve,Noun
575,ه ل ع,1558,anxious ,Noun
576,ك د ي,1262,to withhold,Verb (form IV)
577,و ق د,1636,to kindle,Verb (form X)
578,ف ج ر,1108,to gush forth,Verb (form V)
579,س م ك,723,its ceiling,Noun
580,و ه ج,1651,burning,Adjective
581,د ح و,459,to spread,Verb (form I)
582,ل غ و,1336,and make noise,Noun
583,ح ر ب,301,wage war,Noun
584,س ب ب,649,insult,Noun
585,س ع ي,692,"to strive, to run",Verb (form I)
586,و ص ف,1618,"to attribute, to ascribe",Verb (form I)
587,و ل ج,1646,to cause enter,Verb (form IV)
588,ح د ث,297,"to report, to narate",Verb (form II)
589,ت ح ت,178,under them,Nominal (Noun)
590,ن ه ر,1525,repel them,Nominal (Noun)
591,ر ف ر ف,572,cushions,Noun
592,ش و ظ,807,a flame,Noun
593,ع ب ق ر,951,and carpets,Noun
594,ل و ن,1360,(is) its color,Noun
595,ق ذ ف,1185,"to cast, to throw, to hurl",Verb (form I)
596,س ل م,718,"to submit, to greet, to pay",Verb (form II)
597,س أ ل,647,to ask,Verb (form I)
598,م ر ج,1382,to release,Verb (form I)
599,ط و ر,930,(in) stages,Noun
600,ف و ج,1160,a troop,Noun
601,خ م س,436,And the fifth,Noun
602,ه ز ز,1551,to shake,Verb (form I)
603,خ ي ب,448,and disappointed,Active participle
604,ب خ ع,101,the one who kills,Active participle
605,س و ر,740,they climbed over the wall,Noun
606,و د د,1596,"to love, to wish",Verb (form I)
607,ث م ر,208,it bears fruit,Noun
608,ن ق ص,1509,they have failed you,Noun
609,ر ع ي,565,to observe,Verb (form III)
610,ض ر ر,885,to harm,Verb (form I)
611,ط م ع,925,"to hope, to desire",Verb (form I)
612,س و م,746,to afflict,Verb (form I)
613,ل س ن,1330,their tongues,Noun
614,ر ج ل,538,and for the men,Noun
615,ج د ث,228,the graves,Noun
616,ح س ر,318,they tire,Noun
617,ب ذ ر,109,"to squander, to waste",Verb (form II)
618,ق ب ر,1171,and provides a grave for him,Noun
619,ب و ب,166,the gate,Noun
620,أ ل ف,56,thousand,Noun
621,ل ي ل,1364,of the night,Nominal (Noun)
622,خ ل ل,432,in your midst,Noun
623,ح ص ب,323,(are) firewood,Active participle
624,أ ب ي,11,to refuse,Verb (form I)
625,م ك ن,1410,to establish,Verb (form II)
626,ح ل ف,346,to swear,Verb (form I)
627,ز ي غ,644,to deviate,Verb (form IV)
628,ج ل د,254,[then] flog,Noun
629,ه و ي,1571,to desire,Verb (form I)
630,أ ن ث,77,and the female,Noun
631,أ س و,46,to grieve,Verb (form I)
632,ت م م,189,"to fulfill, to complete, to perfect",Verb (form IV)
633,غ و ي,1092,and erred,Noun
634,ض غ ث,888,Confused,Noun
635,م ز ج,1388,its mixture,Noun
636,ن أ ي,1433,"to distance, to become remote, to keep away",Verb (form I)
637,ج ث و,225,bent (on) knees,Verbal noun
638,ز ف ر,621,(is) sighing,Noun
639,ل ق ف,1345,to swallow,Verb (form I)
640,ن س ب,1462,(there) will be relationship,Noun
641,ر ه ق,596,to cover,Verb (form I)
642,ع ت و,956,"to be insolent, to exceed, to rebell",Verb (form I)
643,ج د ل,231,argue,Noun
644,ز ل ف,626,And We brought near,Noun
645,ر ج س,535,(are an) abomination,Noun
646,ك ت م,1257,"to conceal, to hide",Verb (form I)
647,د ح ر,457,Repelled,Passive participle
648,ن ق ر,1508,is blown,Noun
649,ع ل و,1018,and Exalted,Nominal (Noun)
650,ش ي خ,812,(is) an old man,Nominal (Adjective)
651,ر ف د,571,(is) the gift,Noun
652,ه و ن,1570,Allah humiliates,Active participle (form IV) (Adjective)
653,د ن و,488,to draw,Nominal (Noun)
654,ض ر ع,886,to humble,Verb (form I)
655,ن ع ج,1488,ewe(s),Noun
656,أ ف ل,53,to set,Verb (form I)
657,ع ب ث,947,amusing yourselves,Noun
658,ن ب ع,1439,a spring,Noun
659,ع ت ل,955,to drag,Verb (form I)
660,ك و د,1302,"to be near, to nearly do, to almost do",Verb (form I)
661,ٱلْيَسَعَ,65,Elisha,Proper noun
662,ق ح م,1178,he has attempted,Active participle (form VIII)
663,ك ه ل,1299,and (in) maturity,Noun
664,ن ك ب,1513,(the) paths thereof,Active participle
665,ك ه ن,1300,a soothsayer,Noun
666,ع ج ز,960,to be unable,Verb (form I)
667,أ ش ر,47,insolent,Adjective
668,ع ش ر,990,And live with them,Nominal (Noun)
669,ف ت ي,1106,"to give ruling, to explain, to advise",Verb (form IV)
670,ن ش أ,1470,"to produce, to raise",Verb (form IV)
671,ر ب ط,527,to be constant,Verb (form III)
672,ع ص ب,992,(are) a group,Adjective
673,ث ن ي,210,fold up,Noun
674,د ر أ,463,to dispute,Verb (form VI)
675,م ر د,1384,They persist,Adjective
676,ذ ر ع,507,his two forelegs,Noun
677,غ و ث,1087,to seek help,Verb (form X)
678,ك س ف,1271,a portion,Noun
679,ف ر غ,1123,to pour,Verb (form IV)
680,غ ل م,1078,a son,Noun
681,ب د أ,103,"to begin, to originate",Verb (form I)
682,غ م م,1084,(with) distress,Noun
683,إِبْلِيس,9,Iblis,Proper noun
684,ح و ر,367,he would return,Noun
685,ج ن ي,268,ripe,Adjective
686,ب ر ز,115,"to come forth, to go out",Verb (form I)
687,ن ص ي,1479,of its forelock,Noun
688,إِذًا,28,then,Particle (Answer particle)
689,ف ز ع,1128,and will be terrified,Noun
690,ق م ح,1228,(are with) heads raised up,Passive participle (form IV)
691,ع ر ج ن,972,like the date stalk,Noun
692,ف ي ل,1169,(of the) Elephant,Noun
693,م س خ,1392,to transform,Verb (form I)
694,ب ط ن,136,(is) concealed,Noun
695,ر ق م,578,and the inscription,Noun
696,ه و د,1568,to be Jewish,Verb (form I)
697,ع م د,1019,intended,Active participle (form V)
698,ث و ي,213,(is the) abode,Noun
699,ب ك ر,151,and (in) the morning,Nominal (Adjective)
700,و ص ل,1619,"to join, to reach",Verb (form I)
701,ص ب ر,818,to be patient,Verb (form I)
702,ح ض ر,330,"to approach, to attend",Verb (form I)
703,ث و ب,211,been rewarded,Noun
704,ف ي أ,1167,to return,Verb (form I)
705,س ج ل,661,(of) a scroll,Noun
706,ك ف ل,1282,"to take charge, to nurse, to rear",Verb (form I)
707,أ ص ل,49,"evening, afternoon",Nominal (Noun)
708,ح و ل,371,comes,Nominal (Noun)
709,س ن و,732,(the) flash,Noun
710,ص ب ح,817,to become,Verb (form IV)
711,ر ج م,539,surely we would have stoned you,Nominal (Adjective)
712,ع و د,1035,to return,Verb (form I)
713,م ض ي,1401,"to go on, to continue, to pass",Verb (form I)
714,ج و ع,278,you will be hungry,Noun
715,ب خ ل,102,"to be stingy, to withhold",Verb (form I)
716,ب غ ي,146,to seek,Verb (form VIII)
717,خ س ف,407,to cause to swallow,Verb (form I)
718,ر ت ل,532,to recite,Verb (form II)
719,ج ه ز,271,to furnish,Verb (form II)
720,ح ل ل,348,"to descend, to be lawful",Verb (form I)
721,ح ط م,334,to crush,Verb (form I)
722,س د د,671,the two mountains,Adjective
723,م ن ع,1418,to prevent,Verb (form I)
724,م ش ي,1398,to walk,Verb (form I)
725,ق ص ر,1205,to shorten,Verb (form I)
726,ف و ق,1164,he recovered,Nominal (Location adverb)
727,ع و ج,1034,(seem) crooked,Noun
728,ن ق ض,1510,to break,Verb (form I)
729,س ر ب,675,(are) like a mirage,Active participle
730,ز ل ل,628,to slip,Verb (form I)
731,خ س أ,405,Remain despised,Active participle (Adjective)
732,غ ط ش,1069,to darken,Verb (form IV)
733,ل ف ح,1338,to burn,Verb (form I)
734,ف ر ه,1125,skillfully,Active participle
735,ط م م,926,the Overwhelming Calamity,Noun
736,ك ل ح,1286,(will) grin with displaced lips,Active participle
737,ث ج ج,198,pouring abundantly,Adjective
738,م ط و,1403,to swagger,Verb (form V)
739,ج ر م,241,to let incite,Verb (form I)
740,أ ج ل,19,term,Noun
741,ن خ ر,1451,decayed,Adjective
742,ص ي ر,875,reach,Noun
743,ض د د,883,opponents,Noun
744,ر ي ن,607,to cover,Verb (form I)
745,س ط ح,687,to spread out,Verb (form I)
746,ج م م,262,immense,Adjective
747,غ ص ص,1066,chokes,Noun
748,س و ط,741,scourge,Noun
749,م ز ن,1390,the rain clouds,Noun
750,س د ي,674,neglected,Noun
751,ب س ق,125,tall ,Noun
752,ع ض و,1001,(in) parts,Noun
753,ه ج ع,1543,to sleep,Verb (form I)
754,أَبَارِيق,3,"jugs, pitchers",Noun
755,ق و ب,1241,(at) a distance,Noun
756,ق و س,1243,(of) two bow-(lengths),Noun
757,ل ع ب,1333,playing,Noun
758,ع ت ب,952,to ask for favor,Verb (form X)
759,ن ث ر,1441,scatter,Passive participle (Noun)
760,ذ أ ب,499,a wolf,Noun
761,ك ب ت,1252,to be disgraced,Verb (form I)
762,ف ر ر,1118,So I fled,Noun
763,ج أ ر,215,to cry for help,Verb (form I)
764,و ز ن,1607,and weigh,Noun
765,ل ج أ,1317,a refuge,Noun
766,م ح و,1376,"to eliminate, to erase",Verb (form I)
767,ش ف ي,786,"to heal, to cure",Verb (form I)
768,ل ح ق,1321,to join,Verb (form I)
769,ح ج ب,292,(will be) a partition,Noun
770,ن س ك,1466,our ways of worship,Noun
771,ر م م,591,(are) decomposed,Noun
772,ص ع ق,842,"thunderbolt, thunderclap",Noun
773,ظ ه ر,945,to support,Verb (form VI)
774,ر د د,547,"to turn back, to return",Verb (form I)
775,م ز ق,1389,"to disintegrate, to disperse",Verb (form II)
776,ق ي ل,1249,were sleeping at noon,Active participle
777,م ح ص,1372,"to purify, to purge",Verb (form II)
778,ه ض م,1556,deprivation,Noun
779,ن ص ت,1475,"to listen, to play attention",Verb (form IV)
780,أ م ل,71,hope,Noun
781,ث ق ب,203,the piercing,Active participle (Noun)
782,ر س س,554,(of) Ar-rass,Noun
783,ط ل ع,920,to inform,Verb (form IV)
784,ش ه ق,803,and wailing,Noun
785,و ق ع,1639,"to fall, to occur, to fulfill",Verb (form I)
786,ص ن ع,863,"to make, to construct, to do",Verb (form I)
787,ن ز ع,1457,"to take way, to remove, to withdraw",Verb (form I)
788,ع ت د,953,to prepare,Verb (form IV)
789,غ ي ظ,1097,that angers,Noun
790,ن ك ح,1515,to marry,Verb (form I)
791,ط ر د,907,"to send away, to drive away",Verb (form I)
792,ق ص ص,1206,We (have) mentioned them,Noun
793,ح ر ث,302,you sow,Noun
794,ش ه ر,802,Month,Noun
795,و ح د,1593,(of) one (kind),Nominal (Adjective)
796,ع ذ ر,969,make excuse,Noun
797,ق ب ض,1173,"to withhold, to withdraw, to close",Verb (form I)
798,ش ك ك,791,doubt,Noun
799,ر ج ز,534,And uncleanliness,Noun
800,خ ط و,421,(the) footsteps (of),Noun
801,ك و ك ب,1304,a star,Noun
802,ث ب ر,195,(for) destruction,Passive participle
803,ف ك ر,1148,"to ponder, to reflect",Verb (form V)
804,م س ك,1395,"to retain, to withhold",Verb (form IV)
805,غ ر م,1058,inseparable,Noun
806,س ح ر,666,they bewitched,Noun
807,ل ح د,1319,"to deviate, to distort",Verb (form IV)
808,ك ظ م,1276,a suppressor,Active participle
809,ذ م م,514,covenant of protection,Noun
810,م ق ت,1407,and hateful,Noun
811,ح ر ف,309,to distort,Verb (form II)
812,خ ب ث,384,is bad ,Noun
813,س ر ج,677,a lamp,Noun
814,ب د ع,105,they innovated ,Noun
815,ز و ل,641,to cease,Verb (form I)
816,ك و ب,1301,and cups,Noun
817,س خ ط,670,became angry,Noun
818,خ ف ض,423,to lower,Verb (form I)
819,ل ب د,1314,abundant,Noun
820,ف ش ل,1133,to lose courage,Verb (form I)
821,ج ب ل,219,hill,Noun
822,ج م ل,261,(is) beauty,Noun
823,ت س ع,183,nine,Noun
824,ح ص ن,328,"to guard, to protect",Verb (form IV)
825,ب ر ه ن,120,your proof,Noun
826,و د ع,1597,and disregard,Passive participle (form X)
827,ع ق ر,1011,Then they hamstrung,Active participle
828,ن خ ل,1452,the date-palm,Noun
829,ج ن د,265,with the forces,Noun
830,ن ي ل,1537,to reach,Verb (form I)
831,ل ح م,1322,and flesh,Noun
832,ر د ف,548,close behind,Active participle (form IV)
833,ه ط ع,1557,Racing ahead,Active participle (form IV)
834,ص ر م,839,to pluck,Verb (form I)
835,ق ر د,1189,apes,Noun
836,ف ج ج,1107,broad passes,Nominal (Noun)
837,م ر ح,1383,be insolent,Noun
838,ن س ل,1467,descend,Noun
839,ر ح ل,543,their saddlebags,Noun
840,س ل خ,711,"to pass, to detach",Verb (form VII)
841,ح ل ي,350,They will be adorned,Noun
842,ح م ي,356,it will be heated [on it],Noun
843,ف و ه,1166,their mouths,Noun
844,ج و ر,275,they will remain your neighbors,Noun
845,ف ر ض,1120,"to specify, to ordain, to make obligatory",Verb (form I)
846,ب غ ت,143,suddenly,Noun
847,ح ر ر,305,the heat,Noun
848,أ ث م,16,sin,Noun
849,ع ش و,991,turns away,Nominal (Noun)
850,ق س و,1202,to harden,Verb (form I)
851,ي ت م,1656,and [the] orphans,Nominal (Noun)
852,و س و س,1614,to whisper,Verb (form I)
853,ز ع م,620,to claim,Verb (form I)
854,ص ع د,840,to run uphill,Verb (form IV)
855,ك ر ر,1265,a return,Noun
856,د أ ب,453,as usual,Noun
857,ي س ر,1658,to obtain with ease,Verb (form X)
858,ق ل م,1226,their pens,Noun
859,ع ط و,1004,to give,Verb (form IV)
860,ب ط ش,134,to seize,Verb (form I)
861,ن ك ف,1520,to disdain,Verb (form X)
862,س ج ن,662,to imprison,Verb (form I)
863,ف ق ه,1147,to understand,Verb (form I)
864,ل و م,1359,you blamed me,Noun
865,ب و ر,167,(will) perish,Noun
866,ز ه ق,637,"to depart, to perish",Verb (form I)
867,خ ر ص,400,"to guess, to lie",Verb (form I)
868,ص و ت,868,with your voice,Noun
869,ه ب ط,1539,to go down,Verb (form I)
870,ر و ض,601,flowering meadows,Noun
871,ع ت ق,954,[the] Ancient,Adjective
872,و ع ي,1628,and would be conscious of it,Noun
873,أ ر ب,31,uses,Noun
874,و ق ت,1635,are gathered to their appointed time,Noun
875,غ و ص,1089,to dive,Verb (form I)
876,ه ب و,1540,(as) dust,Noun
877,خ ض ع,416,be soft,Active participle
878,و ص ب,1616,constantly,Active participle
879,خ ز ن,403,(are the) treasures,Noun
880,ب ط ل,135,"to make vain, to nullify",Verb (form IV)
881,ذ ب ح,502,"to slaughter, to sacrifice",Verb (form I)
882,ر ك ن,587,to incline,Verb (form I)
883,س و ق,744,to drive,Verb (form I)
884,ف و ر,1161,and overflowed,Noun
885,غ ض ض,1068,to lower,Verb (form I)
886,ه ن أ,1567,(in) satisfaction,Nominal (Adjective)
887,ح ر ي,313,to seek,Verb (form I)
888,غ د ق,1052,(in) abundance,Adjective
889,ز م ه ر,632,freezing cold,Noun
890,ق م ط ر,1231,and distressful,Adjective
891,م ل أ,1412,"surely, I will fill",Noun
892,ش ر د,765,to disperse,Verb (form II)
893,ر ت ع,530,to enjoy,Verb (form I)
894,ه م ر,1562,pouring down,Active participle (form VII)
895,ح د ب,296,elevation,Noun
896,ج و د,274,excellent bred steeds,Adjective
897,ط ب ع,903,to seal,Verb (form I)
898,ش ف ق,783,and they feared,Active participle (form IV)
899,ح ن ن,362,And affection,Noun
900,ت ع س,184,destruction (is),Noun
901,ر ه و,598,at rest,Noun
902,د ف أ,475,(is) warmth,Noun
903,ع ق ب,1009,look back,Noun
904,ص ف ن,850,excellent bred steeds,Active participle
905,أ ب ق,7,"to run away, to flee",Verb (form I)
906,ق ف ل,1220,(are) locks,Noun
907,ر ي ع,606,elevation,Noun
908,ض ي ر,898,harm,Noun
909,ذ ع ن,509,(as) promptly obedient,Active participle (form IV)
910,و س ع,1609,"to encompass, to extend",Verb (form I)
911,ث ر ي,201,the soil,Noun
912,د ه ي,493,(will be) more grievous,Adjective
913,ب ل غ,157,to reach,Verb (form I)
914,ق ع ر,1219,uprooted,Active participle (form VII)
915,خ ط أ,417,"to err, to make mistake",Verb (form IV)
916,و ن ي,1649,to slacken,Verb (form I)
917,ف ص ل,1135,"to set out, to depart, to judge",Verb (form I)
918,ل ف ظ,1339,to utter,Verb (form I)
919,ط ع م,911,"to eat, to taste, to feed",Verb (form I)
920,ف ت ن,1105,(may) harm you,Noun
921,ش ت ت,755,separately,Nominal (Adjective)
922,ج د د,229,(the) Majesty,Adjective
923,أ و ب,83,Repeat praises,Noun
924,ط ي ر,937,(that) flies,Noun
925,ش ي ع,814,(should) spread,Noun
926,ل ف ت,1337,to turn away,Verb (form I)
927,ش ك و,793,to complain,Verb (form I)
928,ر ه ط,595,for your family,Noun
929,ن ض د,1482,arranged,Passive participle (Noun)
930,ن ف ش,1501,to pasture,Verb (form I)
931,ف ر ش,1119,We have spread it,Noun
932,س ط ر,688,they write,Noun
933,ض ي ق,902,and (was) straitened,Nominal (Noun)
934,ب ل د,154,a city,Noun
935,ب ض ع,131,(as) a merchandise,Noun
936,خ ذ ل,395,to forsake,Verb (form I)
937,ح ظ ظ,336,any portion,Noun
938,ن ف ل,1504,the spoils of war,Noun
939,ق ص د,1204,And be moderate,Active participle (form VIII)
940,ق م ص,1230,his shirt,Noun
941,ض و أ,897,"to light, to flash, to glow",Verb (form IV)
942,ش ه و,804,they desire,Noun
943,إِسْحَاق,39,Isaac,Proper noun
944,ص و م,872,to fast,Verb (form I)
945,ن ف د,1497,to be exhausted,Verb (form I)
946,د خ ر,460,(are) humble,Active participle
947,ر ف ق,574,companion(s),Noun
948,ص ب ب,816,to pour,Verb (form I)
949,ص ن م,864,idols,Noun
950,ل ز م,1329,"to compel, to make adhere",Verb (form IV)
951,ن س ف,1465,"to scatter, to blow away, to blast",Verb (form I)
952,ل ب ث,1313,"to remain, to stay, to hesitate, to delay",Verb (form I)
953,ن و ب,1528,to turn,Verb (form IV)
954,ن ف ع,1502,"to profit, to benifit",Verb (form I)
955,ي م م,1661,"to aim, to do tayammum",Verb (form V)
956,ع ل ق,1015,a clinging substance,Passive participle (form II)
957,ش ف ع,782,to intercede,Verb (form I)
958,غ س ق,1062,and purulence,Noun
959,ف ل ق,1152,So it parted,Active participle
960,ش م ل,798,to contain,Verb (form VIII)
961,خ و ض,443,"to engage in idle talk, to converse vainly",Verb (form I)
962,و ق ف,1640,to make stand,Verb (form I)
963,ع ق م,1013,barren,Nominal (Adjective)
964,ر ق ي,579,to ascend,Verb (form I)
965,م ج د,1370,All-Glorious,Adjective
966,ن س خ,1463,"to abolish, to abrogate",Verb (form I)
967,ش ر ي,772,to sell,Verb (form I)
968,ش م س,797,the sun,Noun
969,د ر ج,464,We will gradually lead them,Noun
970,غ ل ظ,1074,and be stern,Nominal (Noun)
971,ذ ق ن,510,on their faces,Noun
972,ش ك ل,792,his manner,Noun
973,ق ن ع,1237,raised up,Noun
974,غ ط و,1070,a cover,Noun
975,ض غ ن,889,their hatred,Noun
976,ر ف ت,569,and crumbled particles,Noun
977,ج ب ي,222,to choose,Verb (form VIII)
978,غ ل ف,1075,(are) wrapped,Noun
979,غ ث و,1050,(as) rubbish of dead leaves,Noun
980,ح ظ ر,335,restricted,Passive participle
981,ف ي ض,1168,to depart,Verb (form IV)
982,د م و,486,[the] blood[s],Noun
983,ق د س,1182,to sanctify,Verb (form II)
984,ص د د,826,(do) you hinder,Verbal noun
985,ب ر ق,117,is dazzled,Noun
986,و ك أ,1642,I lean,Passive participle (form VIII)
987,إِسْمَاعِيل,44,Ishmael,Proper noun
988,س ف ر,695,it brightens,Noun
989,خ ب ت,383,to be humble,Verb (form IV)
990,ف ت ل,1104,(even as much as) a hair on a date-seed,Noun
991,ع ي ر,1043,(in) the caravan,Noun
992,ل أ ل أ,1311,and pearl,Noun
993,ب ل س,155,will (be in) despair,Active participle (form IV)
994,ص ف ر,847,yellow,Adjective
995,ع ن ق,1029,the necks,Noun
996,ت ب ب,174,Perish,Verbal noun (form II)
997,س ف ن,699,the ship,Noun
998,خ ز ي,404,and disgraced,Noun
999,ع ج م,963,(is) foreign,Nominal (Noun)
1000,و ف ر,1630,ample,Passive participle
1001,ح ي د,374,to avoid,Verb (form I)
1002,ح ت م,290,an inevitability,Noun
1003,و ف د,1629,(as) a delegation,Verbal noun
1004,خ ل ع,429,to remove,Verb (form I)
1005,ش م خ,795,lofty,Adjective
1006,ز ر ق,618,blue-eyed,Noun
1007,س و ح,738,in their territory,Noun
1008,ه ر ب,1548,(by) flight,Noun
1009,م س و,1396,to reach evening,Verb (form IV)
1010,ق ب ح,1170,the despised,Passive participle
1011,ن ع ل,1491,your shoes,Noun
1012,ن و ش,1531,(will be) the receiving,Verbal noun (form VI)
1013,د م د م,482,to destroy,Verb (form I)
1014,ت ر ف,180,to give luxury,Verb (form IV)
1015,غ ل ب,1073,"to overcome, to defeat",Verb (form I)
1016,ف ر ط,1121,"to neglect, to fail",Verb (form II)
1017,ص ل ب,853,to crucify,Verb (form I)
1018,ص ر ف,838,He diverted you,Verbal noun (form II)
1019,ث و ر,212,"to raise, to plough",Verb (form IV)
1020,ف ل ك,1153,an orbit,Noun
1021,د ر ك,467,"to overtake, to grasp",Verb (form IV)
1022,و ج ل,1591,"to feel fear, to be afraid",Verb (form I)
1023,ر ع ب,563,[the] terror,Noun
1024,م ي د,1429,it should shake,Noun
1025,د ف ع,476,defend,Verbal noun
1026,ع ز ل,983,"to withdraw, to leave, to keep away",Verb (form VIII)
1027,أ ي د,88,"to support, to strengthen",Verb (form II)
1028,ز ر ع,617,You will sow,Noun
1029,ع ص و,996,with your staff,Noun
1030,س ت ر,658,covering yourselves,Passive participle
1031,و ق ر,1638,and respect him,Noun
1032,أ ج ج,17,"salty, bitter",Noun
1033,أ ف ق,51,horizon,Noun
1034,أ ز ف,37,approaching,Active participle
1035,ج ذ ع,233,(the) trunk,Noun
1036,س و غ,743,to swallow,Verb (form IV)
1037,ف ر ت,1113,and sweet,Adjective
1038,ش ي ب,811,gray-haired,Noun
1039,س ي ح,749,to move about,Verb (form I)
1040,د ل ل,480,"to indicate, to show, to direct",Verb (form I)
1041,ع ط ل,1003,(are) left untended,Passive participle (form II)
1042,ح ق ب,342,(for) ages,Noun
1043,ص غ و,844,to incline,Verb (form I)
1044,ل غ ب,1335,weariness,Noun
1045,ك ب ب,1251,to cast,Verb (form I)
1046,غ د ر,1051,to leave behind,Verb (form III)
1047,ش خ ص,761,to stare,Verb (form I)
1048,ت ر ب,179,well-matched,Noun
1049,ن ف خ,1496,"to blow, to breathe",Verb (form I)
1050,ع ن ب,1026,and grapevines,Noun
1051,ن ح س,1449,and smoke,Adjective
1052,ك ي ل,1309,you measure,Noun
1053,ط ب ق,904,one above another,Nominal (Adjective)
1054,س و ل,745,"to entice, to suggest",Verb (form II)
1055,ث ر ب,200,blame,Verbal noun (form II)
1056,ج د ر,230,and more likely,Noun
1057,خ ر ق,402,"to falsely attribute, to tear",Verb (form I)
1058,د ل و,481,"to present, to let down",Verb (form IV)
1059,ه أ ت,1538,to bring,Verb (form I)
1060,س د ر,672,lote trees,Noun
1061,ح م م,355,boiling water,Nominal (Noun)
1062,ن د د,1453,rivals,Noun
1063,ح ذ ر,300,"to fear, to beware",Verb (form I)
1064,ق س ط س,1200,with the balance,Noun
1065,أ ر ك,33,"couches, thrones",Noun
1066,ص و ر,869,to incline,Verb (form I)
1067,و ع ظ,1627,"to instruct, to advise, to preach",Verb (form I)
1068,س ن ب ل,727,its ears,Noun
1069,ف ض ض,1138,"to rush, to disperse",Verb (form VII)
1070,ع ك ف,1014,devoted,Active participle
1071,ر س و,556,He made them firm,Passive participle (form IV)
1072,و ر ث,1601,and inherit[ed] him,Active participle
1073,ق ت ر,1175,and are not stingy,Active participle (form IV)
1074,ر ب ص,526,to await,Verb (form V)
1075,ر ك م,586,to heap,Verb (form I)
1076,و ج س,1589,"to feel, to sense",Verb (form IV)
1077,س ل و,719,and [the] quails,Noun
1078,ل ف ف,1340,And is wound,Noun
1079,ص ر ر,834,to persist,Verb (form IV)
1080,ل و ح,1357,Scorching,Noun
1081,و ص د,1617,closed in,Noun
1082,د و م,496,to be as long as,Verb (form I)
1083,خ ي ل,451,seemed,Noun
1084,ع ب ر,949,interpret,Noun
1085,ك ن ز,1295,to hoard,Verb (form I)
1086,س ق ف,702,the roof,Noun
1087,ج س د,246,an image,Nominal (Noun)
1088,ه ش ش,1554,to bring down leaves,Verb (form I)
1089,ع س ر,986,you disagree,Noun
1090,ف ن د,1155,to weaken in mind,Verb (form II)
1091,س م م,724,(the) eye,Noun
1092,ح ر س,306,guards,Noun
1093,ن س ر,1464,and Nasr,Proper noun
1094,و ف ض,1631,to hasten,Verb (form IV)
1095,ع ن و,1031,to be humbled,Verb (form I)
1096,ر خ و,545,gently,Noun
